Age,Gender,Tenure/Duration/Ageing,Qualification,Current Occupation/Job,Agency Type,Interim Number of Policies issued,Number of policies rated up,First Years Premium,Renewal Premium,Commission Clawback, Product Type=Risk,Avg TAT for Risk Product, Product Type=Investment,Avg TAT for Investment Product, Product Type=Annuity,Avg TAT for Annuity Product,Renewal commission,Deviation from target policies,Training & DevelopmentRandom NumberMe,Agency Portal usage,Unit Manager,Quotes requested,Agency survery-Satisfaction,No Policy Cancellation-FLC ,Number of Compliants received,Number of Claims Declined,Hit Ratio,Number of policies declined,Label
48,2,11,Graduate,Teacher,Independent,361,5,99913,92618,0,41,6,40,3,61,1,6947,-124,5,Low,PrinceWill,440,9,0,5,0,0.660377358,0,2
30,1,8,Graduate,Doctor,Independent,183,6,87939,83106,0,51,7,60,1,71,0,6233,22,3,Low,MontyBuddy,350,2,0,4,1,3.620155039,0,2
52,2,10,Post Graduate,Software Developer,Captive,324,0,69058,96015,0,100,10,97,2,126,0,7202,-12,2,High,KimberlyCasandra,497,7,0,2,3,1.133550489,2,1
47,1,9,Graduate,Driver,Captive,535,5,77589,82232,0,41,8,43,4,58,0,6168,-334,6,High,JacquelynLonny,315,8,1,5,1,0.931868132,0,2
55,1,34,Graduate,Software Developer,Independent,594,0,71122,98858,0,88,8,96,0,108,1,7415,-260,5,Medium,AmyShaun,397,2,0,4,0,1.303738318,0,2
56,2,3,Post Graduate,Teacher,Captive,142,0,57283,90630,7827,41,9,40,1,61,2,6798,-87,3,High,AnitaMarshall,193,7,1,2,0,1.610126582,0,1
38,1,18,Graduate,Driver,Captive,334,0,93554,99799,7357,74,11,82,0,108,1,7485,-41,5,Medium,KeriLamont,325,5,3,0,0,0.657407407,2,2
42,1,20,Post Graduate,Pilot,Captive,326,0,66100,88643,6585,48,8,45,1,57,0,6649,-148,4,Low,MyronPhil,335,1,0,4,1,0.453313253,1,2
42,1,9,Post Graduate,Business,Independent,505,8,64516,76170,5975,74,7,81,4,91,0,5713,-313,3,Low,AmyShaun,604,4,0,0,1,1.940074906,2,1
54,1,9,Graduate,Architect,Captive,325,0,57720,78554,0,39,11,39,3,44,1,5892,-293,3,Medium,MarcAlec,121,6,0,3,0,1.837988827,0,1
39,1,15,Graduate,Driver,Independent,617,0,61269,75346,9274,78,11,81,2,120,0,5651,-343,2,Low,MarcAlec,578,3,0,4,0,4.306666667,2,1
58,2,38,Graduate,Engineer,Captive,172,0,88655,90085,9322,52,8,50,3,71,0,6757,-27,1,Low,DeandreAimee,252,1,0,2,1,0.513870542,2,1
52,1,5,Graduate,Proffessor,Captive,342,11,91299,95804,0,96,7,113,1,133,2,7186,79,5,Low,DwightNeva,607,7,0,0,0,0.813653137,0,2
53,1,34,Graduate,Teacher,Independent,603,0,65431,80727,9676,48,8,43,1,58,0,6055,-389,5,Low,AlphonsoTasha,482,8,0,5,0,0.22172619,0,2
48,1,18,Graduate,Pilot,Independent,183,0,83889,86277,7755,58,11,51,3,72,0,6471,36,1,Low,JannaArden,473,6,0,5,0,0.708333333,1,2
30,1,6,Post Graduate,Teacher,Captive,377,4,89264,86804,5726,38,10,38,4,46,1,6511,-212,4,Medium,DarrylErnie,122,5,1,2,0,0.207286432,1,2
29,2,2,Graduate,Consultant,Independent,281,0,62221,94084,0,87,8,81,3,112,0,7057,68,4,High,MarionPablo,562,8,0,0,3,1.52972973,0,2
32,1,13,Post Graduate,Driver,Independent,639,0,63103,82211,5604,142,9,147,0,185,1,6166,-132,6,Low,MontyBuddy,590,4,5,0,0,1.722222222,0,2
41,2,5,Post Graduate,Proffessor,Independent,246,5,73013,95993,9214,42,6,45,1,49,2,7200,-155,1,Low,KeriLamont,135,9,0,2,1,0.325387366,0,1
31,2,10,Post Graduate,Pilot,Independent,429,5,85663,76121,0,45,6,53,3,63,2,5710,-198,6,Medium,MarcAlec,404,2,2,2,0,1.802768166,0,2
43,1,11,Post Graduate,Proffessor,Independent,206,5,64692,76656,8161,52,11,44,4,62,1,5750,9,5,Medium,VickieMai,158,1,0,2,0,1.168560606,0,2
53,1,27,Graduate,Business,Captive,577,0,60243,88313,0,100,8,110,4,123,2,6624,-188,4,High,DavidLuella,344,5,0,0,0,0.47195122,2,2
35,2,6,Graduate,Business,Independent,162,5,94778,96417,0,53,11,53,0,55,2,7232,-84,2,Low,CasandraPaulette,164,6,0,0,0,1.729166667,1,1
48,1,29,Graduate,Software Developer,Captive,559,6,81583,97066,0,59,7,55,1,70,2,7280,-343,5,Medium,BrandiSharlene,522,4,0,1,0,0.413997628,1,2
28,1,2,Graduate,Teacher,Captive,235,8,87066,86027,9258,68,6,66,0,101,0,6453,-78,6,Low,JannaArden,442,3,0,4,2,1.18,0,1
47,1,13,Graduate,Pensioner,Captive,161,0,92380,97008,0,53,10,45,4,63,0,7276,91,3,Low,PabloChelsea,406,10,2,0,0,0.274846626,0,2
34,2,2,Post Graduate,Business,Captive,579,0,83507,79373,0,56,7,56,0,88,2,5953,-358,1,Low,PabloChelsea,199,5,0,0,0,1.0176,1,2
42,2,15,Post Graduate,Pensioner,Captive,199,0,71389,84879,0,40,11,41,1,56,2,6366,-110,5,Medium,MiaMarissa,315,8,0,3,1,0.152222222,1,1
40,1,22,Post Graduate,Architect,Independent,445,5,84115,77703,0,51,9,54,4,59,2,5828,-186,3,High,MagdalenaCarmen,178,2,2,5,0,1.234848485,1,2
25,1,1,Graduate,Pilot,Captive,424,0,71284,93651,9077,136,8,136,2,153,2,7024,-60,5,Medium,MontyBuddy,540,3,4,2,0,0.675837321,0,1
29,1,0,Post Graduate,Teacher,Captive,416,0,50121,88783,6806,111,7,111,1,161,0,6659,12,4,High,LorenzoJohanna,449,3,0,0,0,3.027472527,0,2
44,1,4,Post Graduate,Pilot,Captive,368,0,52809,79133,0,97,7,91,1,126,1,5935,-97,5,High,MyronPhil,522,9,0,2,1,0.646090535,2,1
47,2,17,Graduate,Engineer,Independent,166,0,75099,86351,8232,55,11,55,2,56,2,6477,-93,1,High,MickeyMargret,499,4,2,0,1,0.673410405,2,1
31,1,4,Post Graduate,Software Developer,Independent,436,0,98164,77423,6128,83,6,70,1,98,0,5807,-278,4,Low,DebraCollin,525,8,0,1,0,0.963172805,0,1
47,1,16,Post Graduate,Pilot,Captive,192,6,66689,80784,0,60,11,63,3,69,1,6059,80,4,High,SpencerJarod,264,3,0,0,1,0.310588235,0,2
59,1,33,Graduate,Consultant,Captive,265,8,90233,86313,0,82,11,82,4,101,2,6474,100,1,Medium,LoreneIsiah,650,1,3,5,1,3.748201439,0,2
34,2,7,Post Graduate,Business,Independent,197,6,53000,99140,8725,61,10,57,2,79,1,7436,-40,5,Medium,BillyJerry,575,3,2,2,0,1.894736842,2,1
35,1,13,Graduate,Proffessor,Captive,478,0,81255,98930,0,91,8,82,1,111,0,7420,-116,4,Medium,MavisJanelle,520,4,0,2,0,4.448,0,2
24,1,3,Post Graduate,Proffessor,Captive,556,0,90232,97369,7608,57,6,57,1,90,1,7303,-428,6,High,DomenicHerman,205,5,0,2,0,1.491686461,0,1
44,1,19,Post Graduate,Software Developer,Captive,235,0,84625,82648,9941,78,9,71,2,87,1,6199,91,4,Low,DorisTristan,299,4,0,3,0,0.733742331,0,2
22,1,3,Post Graduate,Pensioner,Captive,496,0,64691,98335,5722,38,6,37,3,48,2,7376,-328,2,High,JohnathanLydia,308,3,0,4,0,0.708542714,0,2
37,1,8,Post Graduate,Engineer,Independent,630,10,56225,95521,0,106,11,99,1,115,1,7165,-227,3,Medium,MyronPhil,574,8,0,1,0,0.548156956,2,2
39,1,16,Post Graduate,Driver,Independent,494,5,63863,92018,8409,52,9,46,3,66,0,6902,-373,4,Low,RobertoJeremy,470,3,2,3,1,1.29424307,0,1
44,1,12,Post Graduate,Pilot,Independent,572,7,95130,98779,0,77,8,72,0,84,1,7409,-295,4,Low,DomenicHerman,602,6,0,3,0,1.1,0,2
30,1,4,Graduate,Business,Independent,138,5,92364,79227,5214,46,7,46,1,47,1,5943,28,3,Low,DavidLuella,480,10,0,0,0,0.416666667,0,2
24,1,6,Post Graduate,Doctor,Captive,445,0,60886,77279,0,123,11,140,0,161,1,5796,34,2,Low,MayraAbram,641,5,4,2,3,0.532482599,3,2
22,1,1,Post Graduate,Business,Captive,156,0,97785,99098,9243,45,6,48,2,62,2,7433,92,2,Medium,KristopherRolando,353,3,2,3,0,0.240853659,0,2
47,1,16,Post Graduate,Pilot,Captive,472,0,69702,89588,0,122,8,114,4,144,0,6720,-3,2,Medium,JacquelynLonny,550,2,4,5,0,0.783180026,0,2
49,1,14,Post Graduate,Consultant,Independent,399,12,60888,88313,0,130,8,114,0,150,0,6624,93,1,Medium,PrinceWill,394,6,4,0,1,0.741518578,0,2
60,1,36,Graduate,Business,Independent,198,0,96394,95103,0,41,6,43,3,51,1,7133,-8,6,Medium,MyronPhil,303,4,1,0,0,0.17578125,1,2
20,2,1,Graduate,Driver,Independent,482,0,55248,78949,0,64,10,59,4,82,2,5922,-242,6,Medium,WilburErnestine,478,2,2,0,0,0.962441315,0,2
60,1,7,Post Graduate,Pilot,Independent,262,0,59916,77774,0,86,8,79,1,97,0,5834,37,3,High,DomenicHerman,615,10,0,4,1,0.998327759,0,2
26,1,6,Post Graduate,Teacher,Independent,321,0,63792,82266,8106,41,9,42,4,45,1,6170,-237,3,High,DeandreAimee,188,6,0,3,0,1.135371179,0,1
40,1,2,Graduate,Teacher,Captive,644,9,84209,84943,0,92,6,90,2,98,2,6371,-462,5,High,JannaArden,282,6,0,0,3,0.469798658,2,1
59,2,37,Post Graduate,Driver,Independent,277,8,96331,96192,0,82,9,74,4,109,1,7215,58,5,Medium,KeriLamont,266,9,0,1,0,0.300111982,2,2
57,1,1,Graduate,Consultant,Captive,477,15,52928,91071,0,138,10,157,2,181,0,6831,-88,5,Low,BillyJerry,595,2,5,1,4,1.001941748,0,1
50,1,16,Post Graduate,Software Developer,Independent,292,0,63827,83306,5464,48,10,50,4,53,1,6248,-218,5,Low,JohnathanLydia,151,2,2,1,0,1.329326923,1,1
45,1,21,Graduate,Driver,Captive,266,0,55424,88061,0,77,8,72,1,108,2,6605,47,2,High,DomenicHerman,514,1,0,0,0,0.523880597,0,2
34,1,4,Post Graduate,Pilot,Independent,445,11,88616,87040,0,108,6,105,0,125,2,6528,-132,6,High,CasandraPaulette,338,6,0,0,0,0.7109375,2,1
21,1,1,Graduate,Driver,Captive,533,0,72081,78676,0,82,6,84,2,98,0,5901,-328,2,Medium,VickieMai,361,7,0,4,1,0.763922518,0,1
59,1,32,Post Graduate,Architect,Independent,374,7,87990,90423,7824,72,10,72,1,88,1,6782,-152,5,Low,MiaMarissa,340,3,0,0,0,0.804832714,0,1
29,1,7,Post Graduate,Architect,Independent,156,5,50159,93315,0,45,7,51,2,59,2,6999,87,6,Medium,BrandiSharlene,572,10,0,5,0,0.649321267,0,2
28,1,8,Post Graduate,Engineer,Independent,206,0,86730,91015,0,44,10,45,1,57,2,6827,28,2,Low,KimberlyCasandra,459,6,0,1,0,0.257092199,0,2
44,1,20,Graduate,Doctor,Independent,197,5,81813,95522,8454,43,7,39,3,52,1,7165,-140,4,High,HymanRory,541,3,0,4,0,0.617511521,0,1
27,1,6,Post Graduate,Architect,Captive,508,0,86348,93666,0,79,10,79,3,114,2,7025,-145,2,Medium,DebraCollin,321,5,0,3,2,0.555555556,0,2
45,1,21,Post Graduate,Architect,Independent,577,9,54800,87685,6976,78,11,78,3,113,0,6577,-216,2,Medium,PollyGene,458,7,3,5,1,0.76056338,0,2
25,1,3,Graduate,Business,Captive,355,0,67568,86930,6640,60,7,60,2,74,2,6520,-252,4,High,MagdalenaCarmen,440,7,2,0,0,0.220838052,0,1
26,2,6,Graduate,Software Developer,Captive,539,0,67044,81259,0,88,10,93,3,102,2,6095,-210,5,Low,JohnathanLydia,456,6,0,0,2,3.255172414,0,2
31,2,2,Post Graduate,Business,Captive,489,4,88909,75884,0,42,11,41,3,49,0,5692,-434,1,Medium,KeriLamont,262,3,1,0,1,0.812351544,1,1
21,1,2,Post Graduate,Engineer,Captive,133,4,93608,92347,7210,41,11,39,3,53,0,6927,63,5,High,PrinceWill,272,10,1,0,1,0.95503876,2,2
35,1,16,Post Graduate,Teacher,Captive,429,6,71383,79689,0,52,7,57,1,70,0,5977,-200,5,Low,DomenicHerman,544,6,2,0,0,0.69379845,0,2
31,2,8,Graduate,Teacher,Captive,531,0,52616,96305,0,41,9,46,1,60,1,7223,-475,2,High,BillyJerry,147,10,1,0,0,3.134831461,1,1
53,2,30,Graduate,Engineer,Independent,423,5,50091,88995,9014,48,8,52,0,64,2,6675,-232,6,Medium,VickieMai,421,10,0,0,0,0.840803709,1,2
36,1,3,Post Graduate,Driver,Captive,125,0,58481,90221,0,41,7,40,1,44,0,6767,-30,6,High,DwightNeva,600,1,0,2,0,2.152317881,0,1
48,1,5,Graduate,Consultant,Captive,334,7,84322,93930,0,63,6,59,3,82,1,7045,-208,3,Medium,DomenicHerman,247,3,0,0,0,0.249388753,2,1
42,1,6,Graduate,Consultant,Independent,580,5,83326,88835,6384,50,9,47,3,60,2,6663,-373,5,Low,SpencerJarod,196,5,2,0,1,3.255102041,0,2
28,1,4,Post Graduate,Pensioner,Independent,555,9,95233,98364,9597,91,11,82,2,111,0,7378,-177,2,Medium,DebraCollin,284,8,3,3,1,2.10373444,2,2
29,1,2,Post Graduate,Driver,Independent,229,7,66701,75963,0,64,6,64,2,101,1,5698,78,4,High,PollyGene,502,9,0,0,1,0.452981651,0,2
32,2,6,Post Graduate,Architect,Captive,283,6,97696,82004,0,50,6,55,4,62,2,6151,-62,4,Low,ClaudioSherwood,631,2,0,0,0,1.031021898,1,2
43,1,10,Post Graduate,Business,Captive,131,0,57079,91457,0,43,9,41,1,47,1,6860,-5,2,Medium,VickieMai,427,10,0,4,0,0.512077295,0,1
44,2,5,Post Graduate,Driver,Captive,286,0,84003,99031,0,92,10,94,0,100,0,7428,44,4,Low,MavisJanelle,539,2,0,1,1,0.74148802,0,2
28,1,5,Post Graduate,Engineer,Captive,298,6,72704,91899,7212,51,7,55,2,76,2,6893,-34,5,Low,CasandraPaulette,484,3,0,3,0,0.40037594,1,2
41,1,22,Graduate,Business,Captive,589,5,83366,75922,8508,42,9,44,0,50,0,5695,-354,5,Low,TwilaBradley,490,2,1,2,0,0.896057348,0,2
24,2,5,Graduate,Pensioner,Captive,615,4,54976,98641,7500,36,7,40,0,52,0,7399,-424,1,High,DebraCollin,128,10,0,0,1,0.479004666,1,2
52,2,34,Post Graduate,Consultant,Independent,163,5,72679,86524,0,54,11,54,3,55,1,6490,-33,6,High,LouellaJosue,310,9,2,2,1,0.741452991,2,1
47,1,18,Post Graduate,Architect,Independent,130,4,55168,79450,5135,42,8,38,4,51,2,5959,95,2,Medium,JacquelynLonny,163,6,1,4,0,0.5,1,2
52,1,27,Post Graduate,Engineer,Independent,480,0,78495,77522,0,58,8,60,4,75,2,5815,-292,1,Medium,BusterNadia,192,5,0,4,0,1.004643963,0,1
22,1,3,Graduate,Driver,Independent,276,0,84298,92845,9414,50,9,51,2,76,1,6964,-150,4,Low,MayraAbram,221,3,0,0,0,0.389010989,0,1
28,1,6,Post Graduate,Proffessor,Captive,569,8,56623,75033,6564,81,7,81,3,91,2,5628,-349,6,High,MiaMarissa,253,8,0,1,2,2.67219917,0,1
45,1,19,Post Graduate,Pensioner,Independent,218,0,97723,86229,0,65,6,61,4,92,0,6468,70,4,High,MiaMarissa,616,6,0,0,0,1.078034682,2,2
48,1,18,Post Graduate,Architect,Independent,550,4,57123,89365,0,35,6,38,0,48,0,6703,-507,5,Medium,HymanRory,121,4,0,4,0,1.173038229,1,1
36,1,17,Graduate,Pilot,Independent,440,0,61364,89219,0,87,8,93,4,120,1,6692,-70,4,High,MyronPhil,301,4,0,0,0,0.812765957,2,2
59,1,7,Graduate,Business,Independent,450,9,75185,78580,8040,89,6,81,0,108,1,5894,-100,2,High,AmyShaun,296,2,0,3,1,0.708860759,0,2
51,2,22,Post Graduate,Consultant,Captive,172,0,71974,84487,0,57,10,52,1,64,0,6337,-63,1,Low,JacquelynLonny,428,3,2,3,2,0.823909532,0,1
49,1,11,Post Graduate,Pilot,Independent,314,10,92086,97444,8896,95,11,92,2,120,2,7309,53,1,Medium,HymanRory,526,10,3,0,0,0.673960613,2,2
55,1,1,Post Graduate,Doctor,Captive,568,6,73703,84260,0,60,6,58,2,70,1,6320,-341,4,High,JudyAlden,390,9,2,0,1,1.422121896,1,2
44,2,10,Graduate,Doctor,Captive,208,6,78123,93262,0,53,8,57,0,79,0,6995,-32,3,Low,TwilaBradley,189,8,2,2,0,0.985553772,0,1
21,1,1,Graduate,Consultant,Captive,151,0,88821,88764,7319,44,8,47,0,60,1,6658,78,2,Low,KeriLamont,436,8,2,1,1,1.245700246,0,2
26,1,2,Graduate,Teacher,Independent,610,0,52830,92530,0,91,11,97,2,106,2,6940,-264,4,Medium,TracieSasha,571,2,0,5,2,0.605527638,2,2
57,1,7,Graduate,Architect,Independent,476,0,56198,90525,0,63,8,57,3,77,2,6790,-322,2,Medium,RobertoJeremy,198,5,2,5,0,1.264916468,0,1
42,1,0,Post Graduate,Engineer,Captive,527,0,72384,90401,7525,53,10,53,4,71,2,6781,-443,2,Medium,KristopherRolando,233,9,2,0,0,0.197104677,1,1
57,2,36,Post Graduate,Consultant,Independent,615,6,90034,92467,0,52,11,55,1,71,0,6936,-380,6,Low,JacquelynLonny,310,8,0,0,0,0.820276498,0,2
59,1,29,Post Graduate,Business,Independent,267,0,55838,95861,6462,46,7,45,0,63,2,7190,-82,1,High,MiaMarissa,448,8,2,4,0,0.582629674,0,2
36,2,6,Post Graduate,Engineer,Captive,324,0,79185,79611,0,50,9,43,2,62,0,5971,-115,2,High,KeriLamont,622,1,0,0,2,0.188106796,1,2
58,2,18,Post Graduate,Architect,Captive,136,5,82095,96388,7326,41,6,45,4,50,0,7230,-62,4,Low,AdrienneElliott,380,10,0,4,0,0.893376414,2,1
45,2,7,Post Graduate,Pensioner,Independent,179,0,85943,92423,9651,42,9,45,3,63,1,6932,69,4,Medium,BusterNadia,353,1,0,0,0,1.027210884,1,2
53,1,31,Graduate,Architect,Captive,479,7,66030,94170,7251,60,8,60,4,94,2,7063,-339,2,Medium,PabloChelsea,221,3,0,4,0,0.241534989,0,1
47,2,3,Graduate,Business,Independent,633,0,59814,76937,0,66,7,66,3,104,0,5771,-307,2,High,JannaArden,548,9,2,1,0,0.272727273,2,2
44,1,8,Post Graduate,Software Developer,Independent,468,0,83852,91527,7553,71,11,76,4,106,2,6865,-316,1,Low,ClaudioSherwood,252,1,0,5,0,0.352,0,1
47,1,3,Post Graduate,Consultant,Independent,608,13,94014,97953,0,125,8,125,2,166,0,7347,-164,1,High,BrandiSharlene,415,7,4,4,0,0.622146119,3,2
53,2,11,Post Graduate,Proffessor,Captive,286,0,69675,89795,6058,44,7,50,4,63,0,6735,-198,6,Medium,PrinceWill,399,1,0,0,0,0.431318681,0,1
46,1,18,Post Graduate,Business,Independent,510,9,50221,96274,7263,91,7,82,4,111,0,7221,-174,6,High,KeriLamont,358,1,0,0,1,2.825688073,0,2
22,2,2,Graduate,Pilot,Independent,307,10,81472,95547,0,92,6,86,1,129,2,7167,79,4,Medium,DeandreAimee,397,8,0,0,0,2.222727273,2,2
21,2,2,Post Graduate,Proffessor,Captive,617,0,86517,76184,7734,69,9,67,4,95,2,5714,-397,6,Low,MavisJanelle,589,7,2,3,1,0.885017422,2,1
34,2,7,Graduate,Pilot,Independent,219,7,85043,93864,0,68,8,72,3,79,2,7040,69,2,Medium,AlphonsoTasha,419,10,0,0,0,2.752212389,3,2
27,1,1,Graduate,Pilot,Independent,465,0,92778,78119,0,64,6,66,0,70,0,5859,-348,1,High,BusterNadia,271,3,0,4,1,0.512886598,0,1
29,1,5,Post Graduate,Pensioner,Independent,499,0,85311,76483,7739,57,8,63,1,77,2,5737,-231,2,Medium,RobertoJeremy,548,9,0,0,0,0.34137931,1,2
22,1,0,Graduate,Architect,Captive,408,4,85244,90807,8438,38,7,35,4,48,0,6811,-376,5,High,BrandiSharlene,455,5,0,5,1,2.86407767,1,1
31,1,2,Graduate,Software Developer,Captive,633,8,96699,85968,5644,74,6,81,1,91,2,6448,-319,1,Low,AhmedMisty,245,10,0,4,0,1.293729373,2,2
58,2,3,Graduate,Driver,Captive,379,9,82006,84612,8164,85,9,82,2,107,1,6346,-43,1,Medium,AmyShaun,274,7,0,3,2,0.639275766,0,2
50,1,7,Graduate,Business,Captive,229,0,64022,83703,5641,76,8,66,3,87,2,6278,93,2,Low,BrandiSharlene,377,4,0,5,0,0.434604905,2,2
34,1,8,Graduate,Proffessor,Independent,455,9,81848,88231,5663,88,7,88,4,117,1,6618,-219,1,Low,AdrienneElliott,349,10,0,3,0,1.313901345,2,1
43,1,24,Post Graduate,Business,Captive,209,4,83805,95037,0,39,8,40,0,43,2,7128,-60,3,Low,KimberlyCasandra,601,3,0,0,0,0.24796748,0,2
30,1,2,Post Graduate,Pensioner,Independent,193,6,54012,83908,0,54,9,64,1,75,1,6294,-81,4,Medium,DavidLuella,424,8,0,0,0,0.493718593,2,1
42,1,22,Post Graduate,Proffessor,Captive,637,0,99147,93698,0,134,11,134,4,164,1,7028,-182,6,Medium,JohnathanLydia,431,4,0,4,5,2.216535433,0,2
42,1,4,Post Graduate,Proffessor,Captive,146,0,84977,76854,0,44,11,47,4,55,0,5765,-100,3,High,BusterNadia,172,10,0,0,0,1.546341463,1,1
37,2,18,Graduate,Consultant,Independent,330,10,65830,84443,0,91,11,98,4,137,0,6334,-77,4,Low,MarionPablo,634,4,0,4,0,4.291666667,2,1
41,1,15,Post Graduate,Engineer,Captive,605,0,87545,91387,7983,76,6,74,1,104,2,6855,-304,4,Low,AmyShaun,319,2,3,5,2,0.838410596,0,2
27,1,3,Graduate,Architect,Captive,548,7,82724,97937,6428,69,7,67,2,95,2,7346,-342,1,Medium,HymanRory,508,3,0,2,2,1.795238095,2,1
20,1,2,Post Graduate,Pilot,Independent,150,0,74208,84185,0,48,11,48,4,54,0,6314,-18,3,Low,CasandraPaulette,615,8,0,0,0,0.820168067,3,1
27,2,2,Graduate,Teacher,Captive,346,0,58159,81682,0,43,10,46,1,65,0,6127,-141,1,Medium,LouellaJosue,154,7,0,2,1,1.120287253,1,2
31,1,9,Post Graduate,Consultant,Independent,471,5,61181,85812,9396,47,11,50,3,55,2,6436,-221,4,High,MickeyMargret,340,3,0,0,0,0.446315789,1,2
41,1,1,Post Graduate,Pilot,Captive,139,5,73416,94470,5558,44,7,42,3,53,2,7086,97,2,Low,RobertoJeremy,600,8,0,1,0,1.440594059,1,2
28,2,6,Post Graduate,Proffessor,Captive,602,7,73515,80959,0,57,9,61,1,86,0,6072,-298,5,Low,MarionPablo,285,6,0,4,1,0.250614251,0,2
51,2,19,Post Graduate,Pensioner,Captive,212,0,68801,83206,0,64,10,59,1,89,2,6241,-21,3,High,MiaMarissa,391,7,0,0,0,1.071881607,2,1
40,1,1,Graduate,Engineer,Captive,149,0,66938,76796,0,43,11,43,1,63,1,5760,-28,3,Low,PrinceWill,481,10,0,1,0,0.397163121,0,1
52,1,1,Post Graduate,Business,Independent,446,0,98079,89179,6369,89,10,105,4,124,1,6689,-169,1,High,AdrienneElliott,329,7,0,0,0,0.399747793,2,1
58,1,26,Graduate,Proffessor,Independent,515,11,51858,95483,8568,112,7,101,1,125,0,7162,-128,5,Low,ChandraDante,410,1,3,0,1,0.89893617,0,2
30,2,5,Post Graduate,Proffessor,Independent,143,5,61649,80085,0,40,11,47,3,56,1,6007,30,2,Low,WilburErnestine,564,9,0,0,1,0.879901961,0,2
51,1,20,Post Graduate,Pensioner,Captive,383,4,65748,99025,5392,38,8,40,1,42,0,7427,-280,3,Medium,JohnathanLydia,120,1,1,0,1,0.461055276,1,1
30,1,0,Graduate,Business,Captive,451,4,89899,92403,0,36,6,41,1,48,0,6931,-352,6,Medium,BusterNadia,427,1,0,0,0,0.222816399,1,1
23,1,2,Post Graduate,Teacher,Captive,345,11,63176,77432,8306,110,7,104,0,131,2,5808,-97,5,Low,AnitaMarshall,622,9,0,0,1,1.223163842,0,1
31,2,9,Post Graduate,Teacher,Independent,200,6,74751,86927,6173,58,10,60,4,82,1,6520,60,2,Low,PollyGene,562,10,0,4,1,0.514395393,0,2
22,1,0,Graduate,Driver,Captive,342,5,57861,97732,8346,48,10,48,4,59,2,7330,-253,5,High,MiaMarissa,416,2,0,0,0,0.291666667,1,1
24,1,4,Graduate,Architect,Independent,572,6,97477,75449,0,49,9,51,4,76,1,5659,-297,3,Low,CasandraPaulette,176,4,0,3,0,0.70845481,1,2
41,2,18,Graduate,Business,Independent,570,0,58454,83271,7253,153,8,138,4,203,0,6246,-90,6,Medium,TracieSasha,512,5,5,0,0,2.923076923,3,1
29,1,7,Graduate,Engineer,Captive,357,6,66157,93163,8456,55,10,50,3,62,2,6988,-164,2,High,RobertoJeremy,167,9,0,3,0,0.602484472,0,2
30,1,0,Graduate,Architect,Captive,523,0,55892,86271,0,43,7,39,1,48,0,6471,-367,1,Low,AnitaMarshall,650,7,1,3,0,1.830065359,1,2
31,2,10,Post Graduate,Pensioner,Captive,359,0,96129,76756,0,47,7,42,1,62,0,5757,-258,4,Low,HymanRory,574,5,2,4,0,0.491856678,1,1
27,1,7,Post Graduate,Pilot,Independent,146,5,97033,98658,6349,44,10,45,1,57,0,7400,65,1,Low,DeandreAimee,404,10,0,0,2,0.494356659,2,2
59,1,29,Post Graduate,Engineer,Captive,386,9,58684,91828,0,95,9,83,4,118,1,6888,-138,1,Medium,JohnathanLydia,296,3,0,1,2,0.954110899,0,1
43,1,6,Post Graduate,Pensioner,Independent,151,5,98972,92933,8110,44,8,45,4,62,1,6970,-80,4,Medium,SpencerJarod,514,7,0,2,0,0.653594771,0,1
34,1,15,Graduate,Pilot,Independent,619,0,78149,80989,0,68,7,68,2,70,2,6075,-426,3,Medium,DorisTristan,340,6,0,0,1,0.31232493,0,1
43,2,9,Post Graduate,Doctor,Captive,163,5,57780,76348,6343,54,7,46,1,64,2,5727,86,5,High,DebraCollin,381,5,0,3,0,2.047008547,2,2
56,1,12,Post Graduate,Business,Captive,524,16,90826,97644,5777,168,9,162,4,194,0,7324,-34,4,High,BrandiSharlene,582,10,0,1,3,1.182341651,3,1
55,1,18,Graduate,Architect,Captive,615,0,70892,94814,8882,53,7,53,3,70,2,7112,-536,6,Low,WilburErnestine,478,2,0,5,2,0.949612403,1,1
20,1,2,Post Graduate,Driver,Independent,499,0,50206,89286,6676,91,10,88,3,97,0,6697,-316,1,Low,MavisJanelle,563,7,3,1,0,0.594827586,2,1
46,2,27,Graduate,Driver,Captive,194,6,73956,81131,8078,64,6,56,1,74,2,6085,73,4,High,JacquelynLonny,442,5,0,0,0,0.595628415,2,2
29,1,9,Graduate,Driver,Captive,386,12,64453,99659,0,110,9,106,2,163,2,7475,19,2,Medium,DwightNeva,583,2,4,1,0,4.52238806,2,2
54,1,2,Post Graduate,Architect,Captive,358,0,53748,95467,9528,72,10,70,2,99,0,7161,-201,5,Low,AdrienneElliott,241,5,2,0,1,2.450381679,2,1
44,1,25,Graduate,Consultant,Independent,606,0,84728,95250,0,48,10,48,4,76,2,7144,-336,2,High,DomenicHerman,507,6,2,5,1,1.010989011,1,2
34,1,6,Post Graduate,Pilot,Independent,142,5,85118,75212,5116,45,10,44,1,53,2,5641,50,6,Low,DarrylErnie,531,8,0,0,1,1.325301205,0,2
43,1,1,Graduate,Pilot,Captive,521,6,70152,80457,7851,55,7,55,4,87,1,6035,-254,4,Medium,TwilaBradley,197,8,0,0,1,1.768115942,0,2
